序号	汉字	字频
706.	计	818
707.	危	817
708.	泛	817
709.	种	817
710.	攀	816
711.	笔	814
712.	盛	811
713.	被	811
714.	点	808
715.	房	807
716.	图	805
717.	陈	805
718.	昨	803
719.	喧	802
720.	赋	800
721.	荷	799
722.	凄	798
723.	消	797
724.	斋	797
725.	孙	796
726.	怨	794
727.	翁	794
728.	端	793
729.	绣	793
730.	涯	793
731.	承	792
732.	负	788
733.	乌	788
734.	抱	787
735.	句	785
736.	没	782
737.	嗟	781
738.	调	779
739.	舍	779
740.	惆	778
741.	郊	777
742.	凭	775
743.	泽	774
744.	鸾	773
745.	桑	771
746.	纵	770
747.	列	769
748.	丛	769
749.	业	769
750.	遍	768
751.	并	768
752.	走	767
753.	宵	766
754.	粉	765
755.	题	765
756.	遂	764
757.	凌	763
758.	宴	763
759.	拜	763
760.	蜀	762
761.	轮	761
762.	荆	760
763.	枯	759
764.	苑	758
765.	象	757
766.	修	757
767.	屋	757
768.	势	756
769.	席	756
770.	浅	756
771.	牛	756
772.	催	756
773.	各	754
774.	童	752
775.	艳	751
776.	奇	750
777.	参	750
778.	瑶	749
779.	再	748
780.	代	748
781.	第	747
782.	词	745
783.	□	744
784.	甘	742
785.	营	742
786.	漏	739
787.	肯	735
788.	偶	735
789.	志	734
790.	旅	734
791.	雷	731
792.	赤	729
793.	馆	727
794.	烧	726
795.	禁	724
796.	笼	723
797.	放	723
798.	咏	722
799.	丘	722
800.	潮	721
801.	短	721
802.	绮	720
803.	毛	720
804.	访	719
805.	津	719
806.	驱	715
807.	勤	715
808.	强	712
809.	禽	711
810.	筵	706
811.	盈	703
812.	沾	703
813.	扫	703
814.	霄	703
815.	炉	702
816.	降	700
817.	塘	699
818.	程	698
819.	弄	696
820.	挂	696
821.	滴	695
822.	盖	690
823.	妆	690
824.	披	688
825.	衔	688
826.	投	687
827.	陌	687
828.	底	687
829.	戎	686
830.	昼	686
831.	历	682
832.	琼	681
833.	漫	679
834.	巢	676
835.	而	675
836.	钱	674
837.	壮	672
838.	诚	672
839.	背	669
840.	荡	668
841.	妾	667
842.	襟	665
843.	史	664
844.	灭	663
845.	迢	662
846.	棹	661
847.	菊	659
848.	宾	657
849.	借	657
850.	达	655
851.	宅	654
852.	辉	653
853.	途	652
854.	俱	652
855.	潜	649
856.	穿	646
857.	涧	646
858.	响	644
859.	墙	640
860.	袖	639
861.	羡	639
862.	要	637
863.	净	635
864.	潭	635
865.	殷	635
866.	壶	634
867.	利	634
868.	拟	630
869.	耕	630
870.	差	629
871.	帐	628
872.	杀	628
873.	避	626
874.	渚	624
875.	茅	623
876.	赠	623
877.	覆	622
878.	寞	622
879.	存	621
880.	源	619
881.	圆	618
882.	斯	618
883.	献	617
884.	市	617
885.	厌	616
886.	养	614
887.	县	614
888.	屏	613
889.	巴	612
890.	牵	610
891.	奏	609
892.	恋	609
893.	卿	609
894.	呼	608
895.	旋	607
896.	境	607
897.	升	605
898.	拥	605
899.	院	605
900.	广	604
901.	弟	604
902.	添	601
903.	唱	598
904.	服	597
905.	杳	597
906.	漠	596
907.	鸳	596
908.	愧	595
909.	就	595
910.	洒	595
911.	郭	593
912.	幕	591
913.	刀	591
914.	雕	589
915.	腰	588
916.	属	586
917.	檐	584
918.	哭	584
919.	澄	582
920.	法	581
921.	陶	581
922.	嘉	579
923.	驾	576
924.	萝	576
925.	诏	576
926.	桐	575
927.	泣	575
928.	也	575
929.	或	574
930.	遣	574
931.	侍	574
932.	策	572
933.	仰	570
934.	招	570
935.	密	569
936.	嫌	565
937.	奉	563
938.	弃	563
939.	阑	563
940.	奈	563
941.	弹	562
942.	实	561
943.	浩	561
944.	尝	560
945.	疾	559
946.	杜	559
947.	受	558
948.	巾	557
949.	耳	557
950.	夷	556
951.	饥	552
952.	威	551
953.	蒙	551
954.	庙	550
955.	儒	550
956.	怪	549
957.	聊	548
958.	商	548
959.	曙	545
960.	峡	545
961.	锁	545
962.	限	544
963.	停	543
964.	淮	543
965.	翼	542
966.	冬	542
967.	试	542
968.	哉	541
969.	义	541
970.	篇	540
971.	宗	540
972.	血	539
973.	追	538
