序号	汉字	字频
941.	桐	654
942.	唱	654
943.	除	653
944.	穿	653
945.	斯	653
946.	袖	652
947.	蒙	649
948.	差	646
949.	耕	644
950.	市	643
951.	夷	641
952.	义	641
953.	要	641
954.	杀	641
955.	就	639
956.	雀	639
957.	养	638
958.	旋	638
959.	境	638
960.	服	633
961.	厌	632
962.	寞	629
963.	添	628
964.	拥	628
965.	恋	628
966.	牵	628
967.	属	627
968.	鸳	625
969.	呈	623
970.	追	620
971.	浩	619
972.	策	618
973.	澄	617
974.	呼	617
975.	射	617
976.	陇	615
977.	雕	614
978.	丈	614
979.	氏	614
980.	曙	613
981.	尝	613
982.	愧	612
983.	仰	611
984.	漠	610
985.	洒	610
986.	妇	610
987.	密	609
988.	刀	609
989.	岛	608
990.	杳	608
991.	聊	607
992.	威	607
993.	韦	604
994.	受	602
995.	哉	601
996.	泊	601
997.	逸	600
998.	弃	599
999.	进	599
1000.	腰	599
1001.	实	598
1002.	泣	597
1003.	檐	596
1004.	延	595
1005.	萝	594
1006.	读	591
1007.	或	589
1008.	坛	585
1009.	柏	581
1010.	系	580
1011.	儒	579
1012.	辛	579
1013.	济	578
1014.	耳	578
1015.	巾	576
1016.	际	576
1017.	话	575
1018.	鲁	574
1019.	扇	573
1020.	奈	573
1021.	鹿	572
1022.	赐	572
1023.	阑	571
1024.	嫌	571
1025.	孟	570
1026.	衡	569
1027.	适	569
1028.	致	569
1029.	怪	569
1030.	父	567
1031.	翼	566
1032.	迁	565
1033.	限	562
1034.	徐	562
1035.	肃	561
1036.	洗	561
1037.	驰	560
1038.	叠	560
1039.	饥	560
1040.	停	559
1041.	丽	559
1042.	布	557
1043.	侣	557
1044.	蝶	556
1045.	荐	556
1046.	笙	556
1047.	候	555
1048.	霁	555
1049.	歇	555
1050.	瑞	553
1051.	母	553
1052.	宇	550
1053.	表	550
1054.	劝	550
1055.	伊	549
1056.	锁	549
1057.	血	548
1058.	鞭	547
1059.	倒	545
1060.	羞	544
1061.	裳	543
1062.	樵	543
1063.	仪	542
1064.	驻	542
1065.	邑	541
1066.	畔	540
1067.	鳞	538
1068.	迥	538
1069.	醒	538
1070.	郁	537
1071.	浓	537
1072.	娇	536
1073.	记	535
1074.	果	535
1075.	富	535
1076.	杏	534
1077.	堤	533
1078.	政	533
1079.	杖	533
1080.	巫	533
1081.	己	532
1082.	涛	531
1083.	止	531
1084.	趋	529
1085.	茶	529
1086.	佩	526
1087.	渭	526
1088.	鼎	526
1089.	铜	526
1090.	虫	526
1091.	推	524
1092.	彼	524
1093.	埃	523
1094.	鬼	523
1095.	黑	521
1096.	窥	520
1097.	层	520
1098.	戍	520
1099.	蒲	520
1100.	甲	519
1101.	睡	519
1102.	建	517
1103.	昌	517
1104.	扶	516
1105.	簪	516
1106.	酌	516
1107.	阔	516
1108.	尧	515
1109.	善	515
1110.	场	515
1111.	熟	515
1112.	赵	513
1113.	退	513
1114.	冲	513
1115.	支	513
1116.	律	512
1117.	忍	512
1118.	羁	511
1119.	辰	510
1120.	笛	510
1121.	谒	508
1122.	座	507
1123.	谓	506
1124.	仁	505
1125.	左	505
1126.	零	505
1127.	惠	504
1128.	祖	501
1129.	固	500
1130.	改	497
1131.	简	497
1132.	印	497
1133.	号	495
1134.	部	495
1135.	庆	494
1136.	贞	494
1137.	芙	493
1138.	亡	493
1139.	险	492
1140.	扉	491
1141.	抛	491
1142.	乍	490
1143.	买	489
1144.	暑	488
1145.	贱	487
1146.	伏	487
1147.	咽	487
1148.	累	486
1149.	丰	486
1150.	翰	486
1151.	写	485
1152.	壑	483
1153.	顶	483
1154.	委	483
1155.	瑟	483
1156.	汝	482
1157.	促	481
1158.	虏	481
1159.	鲜	480
1160.	符	479
1161.	校	479
1162.	贺	479
1163.	展	478
1164.	奔	478
1165.	阻	476
1166.	舒	475
1167.	姓	475
1168.	纤	475
1169.	环	475
1170.	联	475
1171.	请	473
1172.	崖	472
1173.	履	471
1174.	索	471
1175.	造	470
1176.	益	469
1177.	鹭	468
1178.	懒	468
1179.	蓉	466
1180.	雅	466
1181.	岐	466
1182.	贾	466
1183.	切	465
1184.	戈	465
1185.	梧	464
1186.	旷	462
1187.	网	461
1188.	振	461
1189.	烦	461
1190.	腾	460
1191.	右	460
1192.	伯	460
1193.	皎	459
1194.	炎	459
1195.	槛	458
1196.	佛	458
1197.	屈	457
1198.	晖	456
1199.	嵩	455
1200.	柱	455
1201.	免	455
1202.	钩	454
1203.	摧	454
1204.	妙	451
1205.	龟	451
1206.	澹	450
1207.	了	450
1208.	宋	448
1209.	寸	447
1210.	恶	447
1211.	袅	447
1212.	羊	446
1213.	朔	445
1214.	裁	445
1215.	篱	445
1216.	辈	445
1217.	焚	444
1218.	润	444
1219.	畏	444
1220.	栽	444
1221.	置	443
1222.	福	443
1223.	示	443
1224.	芜	443
1225.	返	442
1226.	咸	440
1227.	痕	440
1228.	体	440
1229.	魏	437
1230.	锡	437
1231.	勿	436
1232.	乾	436
1233.	弓	435
1234.	绵	435
1235.	崇	434
1236.	托	434
1237.	味	434
1238.	旦	433
1239.	堕	433
1240.	猎	432
1241.	籍	432
1242.	宛	432
1243.	芝	430
1244.	废	429
1245.	脱	428
1246.	闺	427
1247.	甚	427
1248.	妻	427
1249.	庄	426
1250.	珍	426
1251.	箫	426
1252.	换	426
1253.	晋	425
1254.	宠	425
1255.	吐	424
1256.	农	423
1257.	翩	423
1258.	觞	422
1259.	姿	422
1260.	鸥	422
1261.	箭	421
1262.	磬	421
1263.	社	421
1264.	蛾	420
1265.	侧	418
1266.	违	418
1267.	竿	418
1268.	巡	417
1269.	织	417
1270.	蛮	416
1271.	资	414
1272.	饶	414
1273.	妓	414
1274.	犬	413
1275.	温	412
1276.	巷	412
1277.	康	411
1278.	聚	410
1279.	掌	410
1280.	灰	409
1281.	总	409
1282.	娥	409
1283.	束	409
1284.	压	408
1285.	霭	408
1286.	潇	408
1287.	祠	407
1288.	忠	406
1289.	刺	406
1290.	踏	406
1291.	踪	405
1292.	激	404
1293.	染	403
1294.	予	402
1295.	萦	402
1296.	界	402
1297.	凰	401
1298.	浑	401
1299.	挥	400
1300.	位	400
1301.	视	400
1302.	砌	399
1303.	施	399
1304.	宦	399
1305.	峨	398
1306.	竞	398
1307.	态	397
1308.	占	396
1309.	昆	395
1310.	谋	395
1311.	玩	394
1312.	维	394
1313.	团	393
1314.	彻	392
1315.	藤	391
1316.	拾	391
1317.	豪	389
1318.	稍	389
1319.	樽	388
1320.	禄	388
1321.	民	387
1322.	镇	387
1323.	妨	385
1324.	运	384
1325.	启	384
1326.	滞	384
1327.	夸	383
1328.	融	382
1329.	啸	382
1330.	狐	382
1331.	谈	381
1332.	坠	381
1333.	值	380
1334.	丁	380
1335.	焉	379
1336.	嘶	379
1337.	鸯	378
1338.	毫	377
1339.	凋	377
1340.	翔	377
1341.	齿	377
1342.	仆	376
1343.	讵	375
1344.	尾	375
1345.	工	374
1346.	铁	374
1347.	役	374
1348.	触	373
1349.	谏	372
1350.	舆	371
1351.	氛	370
1352.	牧	370
1353.	蕊	370
1354.	敛	370
1355.	继	369
1356.	兔	369
1357.	判	368
1358.	襄	367
1359.	冻	367
1360.	末	366
1361.	坤	366
